lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,linenewbury,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
18.5,19.5,Florida St.,Alabama,24.0,15.55,,19.5,30.6,11.11,11.102,16.68,20.334,23.5,17.5,19.1,18.1,17.3,14.84,19.15,16.0,,19.5,20.38,13.97,15.78,33.1,,19.76,31,17.746194866,13.41,,,22.463025645,0,,25.24,22.66,19.433155929,21.38,27.2771,,11.0,23.0,16.1,,14.2835,23,24.08,25.427,22.49,17.37,,19.78199938,5.3973964407,19.291577965,0.5048271964,0.8801313955,19.5
20.5,17.5,Charlotte,Appalachian St.,22.5,19.94,,17.5,18.09,14.35,17.503,16.45,30.123,6.2,7.4,11.0,8.7,15.0,19.18,16.49,10.5,,18.0,22.6,16.2,15.76,42.97,,20.92,27,15.263611586,14.64,,,12.850335943,0,,21.92,6.79,25.225045599,24.05,13.0451,,21.0,21.6,9.6,,10.801,27,24.71,11.537,12.69,20.09,,17.439160345,7.2351464336,16.47,0.4989801063,0.8404636105,17.5
35.5,33.5,Northern Ill.,Arizona,18.5,33.39,,33.5,33.84,31.86,34.565,24.01,29.766,26.8,39.5,37.2,40.1,24.5,17.52,31.93,23.0,,25.5,19.82,27.71,27.83,7.4,,26.89,30,28.738967217,33.97,,,33.807781598,0,,22.51,32.01,35.057388848,20.66,29.0514,,21.3,34.1,27.9,,35.434,20,28.22,32.375,18.95,38.11,,28.521724675,6.9977563368,28.895183608,0.4169059771,0.9493532871,33.0
-23.5,-24.5,Georgia,Arkansas,-24.5,,,-24.5,-31.81,-20.09,-13.128,-18.71,-20.556,-12.5,-23.6,-24.9,-24.0,-23.5,-12.59,-17.56,-14.5,,-23.5,-7.99,-16.86,-17.05,-3.68,,-19.59,-33,-27.21019358,-14.7,,,-25.29421068,0,,-13.45,-20.73,-15.40020234,-14.85,-22.0051,,-35.0,-27.9,-21.1,,-15.0675,-29,-23.74,-17.747,-15.14,-14.93,,-19.67238396,6.6930407763,-19.59,0.5809105858,0.1275455997,-24.0
-2.5,-2.0,Florida,Auburn,3.5,-3.53,,-2.5,4.04,-0.07,0.542,0.08,10.682,5.3,-2.8,-3.2,-3.3,2.4,7.11,1.09,4.5,,-1.8,-0.91,-0.88,-0.58,-1.69,,-2.27,-10,0.0624547836,5.45,,,-7.195940799,0,,4.18,1.03,4.418901696,-2.55,2.9853,,3.1,-4.6,-1.2,,3.85,-15,0.2,-9.591,-1.34,0.03,,0.185360939,4.2805465429,0.0462273918,0.5377308505,0.5044810205,-2.0
17.5,20.0,Louisiana Tech,Baylor,8.5,18.43,,18.0,15.04,2.23,16.929,9.83,14.038,8.1,21.7,20.3,22.2,16.7,11.36,19.48,2.5,,14.0,14.11,15.68,17.67,8.62,,13.63,1,17.813641194,10.85,,,18.610899763,0,,5.59,11.05,10.757246151,12.16,15.5366,,19.8,8.6,18.5,,18.55,-1,15.73,20.791,20.24,15.67,,14.007799661,5.5590692934,15.2883,0.3987050132,0.7966998818,19.0
20.5,17.5,Georgia St.,Central Florida,8.0,20.64,,17.5,24.48,18.59,11.52,20.17,17.772,7.9,27.0,25.2,28.2,17.0,12.65,23.88,10.5,,12.3,18.62,20.39,19.92,16.83,,21.51,16,16.862708481,21.6,,,23.755908728,0,,14.83,16.73,13.154464089,15.75,18.1443,,12.0,20.9,21.4,,23.45,-8,18.2,14.717,15.03,17.03,,17.963852139,4.957029346,17.95815,0.5079733122,0.859101945,17.5
2.0,-1.0,Wyoming,Central Mich.,5.0,1.15,,-1.5,4.77,9.76,7.486,3.14,12.875,10.7,2.7,2.6,2.9,-1.6,17.52,-2.97,13.5,,1.3,2.43,1.72,2.01,3.56,,0.12,8,1.670906896,1.83,,,4.8825414317,0,,0.97,27.03,2.110000048,-0.24,2.4916,,2.1,1.7,2.8,,5.6,-4,5.9,10.44,2.93,6.15,,4.922001273,5.6787657211,2.85,0.6000129536,0.6144428828,0.0
14.5,15.5,Miami (Ohio),Cincinnati,6.5,15.32,,16.5,16.89,9.08,14.235,19.65,11.326,8.3,24.5,20.8,23.5,19.0,13.03,22.66,11.0,,13.3,19.07,16.62,16.07,27.17,,25.09,22,22.223261147,18.9,,,17.472431967,0,,14.79,19.96,7.766908364,23.22,24.4378,,19.0,19.8,13.8,,15.7815,24,17.6,17.377,15.44,23.83,,17.539734249,5.1937089672,17.536215984,0.5349412808,0.8523072097,15.5
6.0,3.0,North Carolina,Clemson,6.5,,,3.0,10.13,5.44,8.062,2.58,7.134,11.7,12.3,12.3,12.7,7.9,5.77,10.66,7.0,,4.0,4.64,7.68,8.48,0.38,,2.06,-8,1.1167449565,12.39,,,11.938228393,0,,-2.14,5.39,10.976617994,-2.77,3.9666,,1.0,3.6,8.7,,18.9,-17,6.93,,8.59,6.15,,6.5042830929,5.2132006257,6.965,0.5598686456,0.6509514788,3.5
